Start,End,Text
1169.715,1171.307,"DONKEY Bye-bye, babies!"
1178.89,1180.084,"FIONA Shrek!"
1181.326,1183.521,"SHREK - Wait! - What is it?"
1183.662,1185.152,"FIONA I'm... I'm..."
1189.167,1191.032,"SHREK I love you too, honey!"
1191.169,1194.002,"FIONA No! I said I'm..."
1197.009,1198.442,"SHREK You're what?"
1198.577,1201.011,"FIONA I said I'm pregnant!"
1205.183,1206.65,"SHREK What was that?"
1206.785,1209.845,"FIONA You're going to be a father!"
1211.69,1213.487,"SHREK That's great!"
1213.625,1216.89,"FIONA Really? I'm glad you think so!"
1217.029,1218.428,"FIONA I love you!"
1218.563,1220.554,"SHREK Yeah!"
1220.699,1223.031,"SHREK Me, too! You!"
1226.905,1230.397,"DONKEY I'm going to be an uncle! I'm going to be an uncle!"
1230.542,1233.602,"PUSS And you, my friend, are royally..."
1272.317,1273.306,"SHREK Home."
1285.597,1286.928,"FIONA Shrek!"
1289.267,1290.598,"SHREK Fiona!"
1294.606,1295.937,"SHREK Fiona?"
1315.16,1316.559,"SHREK Oh, no."
1319.731,1322.632,"SHREK better out than in, I always say."
1332.31,1333.641,"SHREK No, no, no!"
1335.814,1338.374,"SHREK It's okay. It's gonna be all right."
1343.655,1345.816,"SHREK Stop! Hey, wait!"
1395.207,1396.731,"SHREK Donkey. Donkey!"
1396.875,1398.103,"DONKEY Wake up!"
1400.545,1401.876,"OGRE BABY Dada!"
1404.316,1406.307,"DONKEY Shrek! You okay?"
1408.053,1413.582,"SHREK I can't believe I'm going to be a father. How did this happen?"
1413.725,1417.923,"PUSS Allow me to explain. You see, when a man has a certain feeling for a woman..."
1418.063,1420.588,"PUSS ...a powerful urge sweeps over him."
1420.732,1423.223,"SHREK I know how it happened."
1424.069,1426.128,"SHREK I just can't believe it."
1428.907,1430.738,"DONKEY How does it happen?"
1437.749,1443.016,"MUSIC ~ And the cat's in the cradle and the silver spoon ~"
1443.154,1445.782,"MUSIC ~ Little Boy Blue and the Man in the Moon ~"
1445.924,1448.518,"MUSIC ~ When you coming home, son? I don't know when ~"
1448.66,1450.958,"MUSIC ~ But we'll get together then, Dad. ~"
1451.096,1453.087,"SHREK Donkey! Can you just cut to the part"
1453.231,1455.756,"SHREK where you're supposed to make me feel better?"
1456.501,1459.026,"PUSS You know I love Fiona, boss. Right?"
1459.17,1463.231,"PUSS What I am talking about here is you, me, my cousin's boat..."
1463.375,1468.972,"PUSS ...an ice cold pitcher of mojitos and two weeks of nothing but fishing."
1469.114,1470.979,"DONKEY Don't listen to him!"
1471.116,1473.812,"DONKEY Having a baby is not going to ruin your life."
1473.952,1478.48,"SHREK It's not my life I'm worried about ruining, it's the kid's."
1478.623,1482.923,"SHREK I mean, when have you ever heard the phrase ""as sweet as an ogre""..."
1483.061,1485.495,"SHREK ...or ""as nurturing as an ogre""..."
1485.63,1489.999,"SHREK ...or how about ""You're gonna love my dad. He's a real ogre."""
1490.135,1491.898,"DONKEY Okay. Okay. I get it."
1492.037,1495.495,"DONKEY But nobody said it's going to be easy. But at least you got us to help you."
1495.64,1497.335,"SHREK That's true."
1497.475,1498.942,"SHREK I'm doomed."
1499.077,1500.738,"DONKEY You'll be fine."
1501.646,1503.546,"SHIP CAPTAIN You're finished."
1505.817,1508.479,"SHIP CAPTAIN Uh, with your journey."
1516.661,1521.098,"DONKEY ""Wor-ces-ters-shiree""? Now that sounds fancy!"
1521.232,1522.563,"SHREK It's Worcestershire."
1522.701,1524.532,"DONKEY Like the sauce? Hmmmmmm!"
1524.669,1526,"DONKEY It's spicy!"
1528,1531.672,"DONKEY Oh, they must be expecting us."
1537.582,1540.38,"DONKEY What in the shista-shire kind of place is this?"
1540.518,1545.717,"SHREK Well, my stomach aches and my palms just got sweaty. Must be a high school."
1545.857,1547.017,"DONKEY High school?"
1547.158,1548.716,"CHEERLEADERS Ready? Okay!"
1548.86,1551.294,"CHEERLEADERS Wherefore art thou headed, to the top?"
1551.429,1555.388,"CHEERLEADERS Yeah, we think so, we think so! And dost thou thinkest thine can be stopped?"
1555.533,1558.001,"CHEERLEADERS Nay, we thinkst not, we thinkst not!"
1563.274,1567.267,"DRIVERS ED INSTRUCTOR All right, Mr. Percival, ease up on the reins."
1570.615,1574.312,"VAN STUDENT For lo, bro, don't burn all my frankincense and myrrh."
1574.452,1577.944,"DONKEY I'm feeling nauseous from memories of wedgies and swirlies!"
1578.089,1582.753,"PUSS How did you receive wedgies when you are clearly not the wearer of the underpants?"
1582.894,1585.795,"DONKEY Let's just say some things are better left unsaid."
1585.93,1589.991,"GUINEVERRE So I was all like, ""I'd rather get the black plague than go out with you."""
1590.135,1592.467,"TIFFANY - Oh, totally. - Pardon me."
1592.604,1595.402,"TIFFANY - Totally ew-eth. - Yeah, totally."
1597.008,1599.602,"GARY I just altered my character level to +3 superb-ability."
1599.744,1602.304,"SHREK Hi. We're looking for someone named..."
1602.447,1606.975,"GARY Who rolled a +9 dork spell and summoned the beast and his quadruped?"
1608.82,1613.314,"SHREK I know you're busy not fiting in, but can either of you tell me where I can find Arthur?"
1613.458,1614.755,"GARY He's over there."
1634.946,1639.349,"LANCELOT There is no sweeter taste on thy tongue than victory!"
1641.786,1644.653,"SHREK Strong, handsome, face of a leader."
1644.789,1648.122,"SHREK Does Arthur look like a king or what?"
1649.294,1650.625,"SHREK Sorry."
1651.362,1653.99,"ARTIE Did you say you were looking for Arthur?"
1654.132,1656.566,"PUSS That information is on a need-to-know basis."
1656.701,1658.396,"DONKEY It's top secret!"
1658.536,1662.131,"LANCELOT Now, gentlemen, let's away. To the showers!"
1664.642,1666.269,"SHREK Greetings, Your Majesty."
1666.411,1667.969,"SHREK This is your lucky day."
1668.813,1670.906,"LANCELOT What are you supposed to be?"
1671.049,1674.314,"LANCELOT Some kind of giant mutant leprechaun or something?"
1675.32,1678.812,"SHREK Giant mutant... You made a funny."
1679.324,1681.258,"LANCELOT Unhand me, monster!"
1681.392,1683.36,"SHREK Stop squirming, Arthur."
1683.495,1685.827,"LANCELOT I'm not Arthur."
1687.832,1690.357,"LANCELOT I am Lancelot."
1690.502,1693.164,"LANCELOT That dork over there is Arthur."
1699.244,1701.439,"GUINEVERRE This is, like, totally embarrassing..."
1701.579,1704.173,"GUINEVERRE ...but Tiffany thinkest thou vex her so soothly."
1704.315,1707.716,"GUINEVERRE She thought perchance thou would ask her to the Homecoming Dance."
1707.852,1708.944,"SHREK Excuse me?"
1709.087,1713.023,"GUINEVERRE Like, whatever. She's totally into college guys and mythical creatures."
1716.461,1718.554,"SHREK Oh, Arthur..."
1718.696,1722.393,"SHREK ...come out, come out, wherever you are!"
1724.435,1727.063,"DONKEY You better run, you little punk no-goodniks!"
1727.205,1730.606,"DONKEY The days of Donkey Dumpy Drawers are over!"
1736.714,1738.045,"HALL MONITOR Hold it."
1738.716,1740.775,"COSTUME STUDENT We're here for the mascot contest."
1745.456,1748.653,"SHREK We're here for the mascot contest, too."
1748.793,1751.318,"HALL MONITOR This is a costume?"
1751.462,1753.453,"SHREK Worked on it all night long."
1754.799,1756.596,"HALL MONITOR Looks pretty real to me."
1756.734,1759.134,"PUSS If he were real, could I do this?"
1760.805,1762.466,"DONKEY Or this?"
1763.741,1768.61,"SHREK If it were real, that would have been agonizingly painful."
